stage,scenario,n,p,learner,tabicl_estimators,success_count,failure_count,oom_count,bias,rmse,empirical_sd,mean_standard_error,coverage,mean_interval_length,mean_runtime_seconds,mean_l_mse,mean_m_mse,bias_mcse
stage1,linear,5000,50,ensemble,0,20,0,0,0.0020036734469024596,0.01354964817773171,0.013748808884618881,0.014157259736401423,0.95,0.05549543840625162,4896.863420750002,0.009219455137007615,0.003750651472206527,0.003074327127566088
stage1,linear,5000,50,lasso,0,20,0,0,0.0023041213987139873,0.013532506503410702,0.013681326376328518,0.014154970872644662,0.95,0.055486466225194084,0.15973477000079583,0.008821531547328702,0.003427586810999388,0.0030592375799831433
stage1,linear,5000,50,mlp,0,20,0,0,-0.09030789541974274,0.09154254870651603,0.015373327843743808,0.015290790020075804,0.0,0.05993879546902613,15.96171519999989,0.24400864281894385,0.13290076848849547,0.003437580609900142
stage1,linear,5000,50,random_forest,0,20,0,0,-0.02079044538926366,0.025900985079180785,0.0158485731912335,0.014350441966620341,0.7,0.05625269883361604,1292.939219760002,0.11201114758930815,0.06735051217014759,0.0035438487001978876
stage1,linear,5000,50,tabiclv2,1,20,0,0,0.0011947667884328107,0.013544786089506466,0.013842488463983706,0.014172198533045499,0.95,0.055553997413041144,6.1109749299999745,0.0079729404493204,0.0036357696201218975,0.0030952745183224213
stage1,linear,5000,50,xgboost,0,20,0,0,-0.011180098133597095,0.019233381467402177,0.016056753568243924,0.014320811218129597,0.85,0.05613654843386238,296.30456476999973,0.0849000418012251,0.04413335647083779,0.003590399247655572
stage1,linear,5000,100,ensemble,0,20,0,0,0.003056721832804954,0.014458767555674743,0.014499089295026196,0.014186718619533264,0.9,0.055610915106177994,9783.117293239999,0.010390656354752208,0.004672104274882404,0.0032420949275518075
stage1,linear,5000,100,lasso,0,20,0,0,0.0031071655895589024,0.014544991148572058,0.014578364990668826,0.014185785334112053,0.9,0.05560725669455221,0.24792866000207142,0.009839363831925187,0.004416879499021009,0.0032598215119938583
stage1,linear,5000,100,mlp,0,20,0,0,-0.14129332734117842,0.14252486360821764,0.01918147119651654,0.01590196127635915,0.0,0.06233454277042905,23.048753749999015,0.423965249286902,0.22121723247753639,0.004289107350386521
stage1,linear,5000,100,random_forest,0,20,0,0,-0.026489144172254703,0.030440616980845044,0.01538818422980904,0.01442639214275034,0.45,0.05655041805328459,2572.482635315002,0.12101664287744258,0.07300813355224352,0.003440902598814326
stage1,linear,5000,100,tabiclv2,1,20,0,0,0.0018901882074025046,0.014304384142292194,0.014547294710732371,0.014226712875480812,0.9,0.05576768970866932,8.129737900000146,0.008896023622632704,0.004237059126415432,0.003252873986192072
stage1,linear,5000,100,xgboost,0,20,0,0,-0.011788247514213469,0.018387970992075228,0.014478830199513975,0.014379373352859243,0.85,0.05636610778371818,636.7587515900007,0.09035693192873656,0.04587930288261159,0.003237564856079009
stage1,mixed,500,10,ensemble,0,20,0,0,-0.02099330664397973,0.05983624389779607,0.057488279445725876,0.0510103322930446,0.9,0.19995682826757574,272.3774245300039,0.4579640707979321,0.1412467110689936,0.012854770075014699
